3/2/14 	 44.01 	 13.024 	 65436
3/8/14 	 44 	 12.868 	 65707
3/17/14 	 42.41 	 12.261 	 65975
3/23/14 	 43.42 	 12.553 	 66249
4/1/14 	 45.42 	 13.131 	 66538
4/10/14 	 44 	 12.682 	 66836
4/18/14 	 42.65 	 12.403 	 67128
4/25/14 	 45.77 	 12.86 	 67428
5/4/14 	 45.26 	 12.438 	 67715
5/12/14 	 44.77 	 12.235 	 68007
5/20/14 	 46.36 	 12.67 	 68295
5/28/14 	 45.55 	 12.655 	 68579
6/6/14 	 45.05 	 12.876 	 68884
6/17/14 	 45.96 	 12.56 	 69183
6/26/14 	 46.69 	 12.421 	 69480
7/5/14 	 48.37 	 12.732 	 69774
7/16/14 	 49.04 	 12.775 	 70069
7/25/14 	 47.67 	 12.352 	 70343
8/2/14 	 46.8 	 12.127 	 70618
8/11/14 	 48.16 	 12.48 	 70907
8/21/14 	 50.72 	 13.211 	 71211
8/29/14 	 48.61 	 12.597 	 71497
9/6/14 	 48.29 	 12.711 	 71774
9/17/14 	 48.55 	 13.019 	 72061
9/26/14 	 47.04 	 13.07 	 72348
10/6/14 	 45.47 	 12.775 	 72637
10/15/14 	 42.66 	 12.406 	 72927
10/24/14 	 43.01 	 12.804 	 73216
10/30/14 	 40.2 	 12.113 	 73479
11/7/14 	 42.75 	 12.959 	 73782
11/15/14 	 40.36 	 12.735 	 74065
11/26/14 	 36.98 	 12.625 	 74325
12/4/14 	 37.48 	 12.666 	 74627
12/13/14 	 33.01 	 12.702 	 74903
12/21/14 	 32.4 	 13.505 	 75192
12/26/14 	 28.75 	 12.725 	 75488
1/4/15 	 24.12 	 12.067 	 75751
1/12/15 	 23.55 	 12.399 	 76017
1/24/15 	 25.26 	 12.895 	 76290
1/30/15 	 23.99 	 12.631 	 76570
2/8/15 	 25.23 	 12.877 	 76845
2/18/15 	 25.62 	 13.211 	 77136
2/27/15 	 27.81 	 12.88 	 77410
3/5/15 	 29.86 	 12.987 	 77682
3/11/15 	 26.83 	 10.736 	 77929
3/21/15 	 34.37 	 13.223 	 78233
3/30/15 	 32.03 	 12.136 	 78528
4/8/15 	 34.54 	 12.989 	 78824
4/16/15 	 31.65 	 11.725 	 79081
4/23/15 	 35.76 	 12.776 	 79384
5/2/15 	 37.05 	 12.564 	 79662
5/10/15 	 37.8 	 12.775 	 79958
5/20/15 	 39.72 	 13.246 	 80261
5/28/15 	 38.86 	 12.703 	 80567
6/5/15 	 39.98 	 13.156 	 80876
6/11/15 	 34.42 	 11.711 	 81140
6/18/15 	 38.73 	 12.744 	 81434
6/26/15 	 38.87 	 12.791 	 81708
7/5/15 	 37.97 	 12.212 	 81989
7/14/15 	 39.12 	 12.623 	 82255
7/23/15 	 42.41 	 13.686 	 82556
8/2/15 	 38.8 	 12.938 	 82840
8/11/15 	 38.98 	 13.085 	 83134
8/20/15 	 36.8 	 12.608 	 83421
9/1/15 	 35.5 	 12.331 	 83686
9/11/15 	 36.37 	 12.995 	 83985
9/21/15 	 34.45 	 12.486 	 84272
10/2/15 	 44.47 	 17.109 	 84665
10/12/15 	 30.56 	 12.228 	 84973
10/20/15 	 29.11 	 12.035 	 85252
10/30/15 	 30.44 	 12.687 	 85532
11/6/15 	 30.17 	 13.124 	 85827
11/16/15 	 27.16 	 12.13 	 86088
11/24/15 	 27.76 	 12.4 	 86359
12/1/15 	 28.25 	 13.083 	 86640
12/11/15 	 26.51 	 12.278 	 86899
12/19/15 	 27.04 	 12.524 	 87146
12/29/15 	 27.59 	 12.777 	 87421
1/2/16 	 18.01 	 8.19 	 87602
1/3/16 	 17.79 	 7.98 	 87788
1/5/16 	 25.75 	 12.038 	 88062
1/12/16 	 26.94 	 12.655 	 88300
1/20/16 	 24.88 	 11.852 	 88540
1/28/16 	 26.66 	 13.335 	 88799
2/6/16 	 24.39 	 12.579 	 89063
2/14/16 	 23.52 	 12.385 	 89318
2/22/16 	 25.15 	 12.839 	 89588
3/1/16 	 21.76 	 11.458 	 89837
3/9/16 	 23.79 	 12.798 	 90102
3/17/16 	 24.82 	 13.071 	 90378
3/25/16 	 25.54 	 12.776 	 90658
